partition,fold,pair,rank_b,rank_c,rank_diff,abs_rank_diff,oracle_kl,spearman_rho_fold
0,0,"{28, 44}",211,202,-9,9,0.003498869016766548,0.772289180085282
0,0,"{28, 46}",98,40,-58,58,0.0018903628224506974,0.772289180085282
0,0,"{48, 28}",220,218,-2,2,0.0037154292222112417,0.772289180085282
0,0,"{50, 28}",160,139,-21,21,0.0022023695055395365,0.772289180085282
0,0,"{28, 52}",222,223,1,1,0.0036485260352492332,0.772289180085282
0,0,"{28, 53}",64,96,32,32,0.0025014947168529034,0.772289180085282
0,0,"{28, 60}",112,213,101,101,0.00170957634691149,0.772289180085282
0,0,"{32, 33}",177,171,-6,6,0.002356131561100483,0.772289180085282
0,0,"{32, 34}",124,111,-13,13,0.002062795450910926,0.772289180085282
0,0,"{32, 36}",44,70,26,26,0.0017208880744874477,0.772289180085282
0,0,"{32, 39}",54,4,-50,50,0.001366651151329279,0.772289180085282
0,0,"{32, 44}",203,190,-13,13,0.003072446445003152,0.772289180085282
0,0,"{32, 46}",50,2,-48,48,0.0014045903226360679,0.772289180085282
0,0,"{32, 48}",213,198,-15,15,0.003276789328083396,0.772289180085282
0,0,"{32, 50}",77,21,-56,56,0.0017687729559838772,0.772289180085282
0,0,"{32, 52}",201,177,-24,24,0.0032021664083003998,0.772289180085282
0,0,"{32, 53}",67,63,-4,4,0.002060316037386656,0.772289180085282
0,0,"{32, 60}",45,66,21,21,0.0012313004117459059,0.772289180085282
0,0,"{33, 34}",95,159,64,64,0.0026587704196572304,0.772289180085282
0,0,"{33, 36}",143,134,-9,9,0.002228845376521349,0.772289180085282
0,0,"{33, 39}",109,92,-17,17,0.0019070416456088424,0.772289180085282
0,0,"{33, 44}",26,132,106,106,0.0035634925588965416,0.772289180085282
0,0,"{33, 46}",104,102,-2,2,0.0019527028780430555,0.772289180085282
0,0,"{48, 33}",43,120,77,77,0.0035972455516457558,0.772289180085282
0,0,"{33, 50}",111,121,10,10,0.0023133764043450356,0.772289180085282
0,0,"{33, 52}",116,142,26,26,0.0037041031755506992,0.772289180085282
0,0,"{33, 53}",175,179,4,4,0.0026486373972147703,0.772289180085282
0,0,"{33, 60}",100,87,-13,13,0.0017536767991259694,0.772289180085282
0,0,"{34, 36}",96,31,-65,65,0.0018504549516364932,0.772289180085282
0,0,"{34, 39}",31,19,-12,12,0.0016127050621435046,0.772289180085282
0,0,"{34, 44}",145,141,-4,4,0.0033350104931741953,0.772289180085282
0,0,"{34, 46}",69,35,-34,34,0.0016682371497154236,0.772289180085282
0,0,"{48, 34}",144,181,37,37,0.0035183830186724663,0.772289180085282
0,0,"{34, 50}",17,91,74,74,0.0020078083034604788,0.772289180085282
0,0,"{34, 52}",90,109,19,19,0.003405905794352293,0.772289180085282
0,0,"{34, 53}",139,123,-16,16,0.0023305602371692657,0.772289180085282
0,0,"{34, 60}",57,68,11,11,0.001497737132012844,0.772289180085282
0,0,"{36, 39}",37,25,-12,12,0.001246072119101882,0.772289180085282
0,0,"{36, 44}",194,182,-12,12,0.002964391140267253,0.772289180085282
0,0,"{36, 46}",42,20,-22,22,0.001261418336071074,0.772289180085282
0,0,"{48, 36}",199,199,0,0,0.003158588893711567,0.772289180085282
0,0,"{50, 36}",68,9,-59,59,0.0016061303904280066,0.772289180085282
0,0,"{36, 52}",193,175,-18,18,0.003090089885517955,0.772289180085282
0,0,"{36, 53}",19,16,-3,3,0.0019436574075371027,0.772289180085282
0,0,"{36, 60}",34,73,39,39,0.0011148782214149833,0.772289180085282
0,0,"{44, 39}",158,118,-40,40,0.0026368368417024612,0.772289180085282
0,0,"{46, 39}",23,51,28,28,0.0008562376024201512,0.772289180085282
0,0,"{48, 39}",171,221,50,50,0.002884611953049898,0.772289180085282
0,0,"{50, 39}",13,1,-12,12,0.0013181936228647828,0.772289180085282
0,0,"{52, 39}",142,104,-38,38,0.0028232550248503685,0.772289180085282
0,0,"{53, 39}",84,38,-46,46,0.0016465844819322228,0.772289180085282
0,0,"{60, 39}",16,59,43,43,0.0007924916571937501,0.772289180085282
0,0,"{44, 46}",152,117,-35,35,0.002636972116306424,0.772289180085282
0,0,"{48, 44}",18,72,54,54,0.004389381036162376,0.772289180085282
0,0,"{50, 44}",159,150,-9,9,0.0029736696742475033,0.772289180085282
0,0,"{44, 52}",132,133,1,1,0.004418797791004181,0.772289180085282
0,0,"{44, 53}",202,200,-2,2,0.0033053173683583736,0.772289180085282
0,0,"{44, 60}",150,144,-6,6,0.0024644953664392233,0.772289180085282
0,0,"{48, 46}",181,148,-33,33,0.002861287444829941,0.772289180085282
0,0,"{50, 46}",39,5,-34,34,0.00132088887039572,0.772289180085282
0,0,"{52, 46}",182,153,-29,29,0.0028159557841718197,0.772289180085282
0,0,"{53, 46}",75,39,-36,36,0.0017141684656962752,0.772289180085282
0,0,"{60, 46}",1,62,61,61,0.000845514761749655,0.772289180085282
0,0,"{48, 50}",166,156,-10,10,0.0031337987165898085,0.772289180085282
0,0,"{48, 52}",102,82,-20,20,0.004388813395053148,0.772289180085282
0,0,"{48, 53}",215,203,-12,12,0.003535396419465542,0.772289180085282
0,0,"{48, 60}",176,230,54,54,0.002727173501625657,0.772289180085282
0,0,"{50, 52}",131,130,-1,1,0.0031231525354087353,0.772289180085282
0,0,"{50, 53}",120,74,-46,46,0.0019884821958839893,0.772289180085282
0,0,"{50, 60}",27,106,79,79,0.0011825888650491834,0.772289180085282
0,0,"{52, 53}",207,204,-3,3,0.0034645760897547007,0.772289180085282
0,0,"{52, 60}",163,152,-11,11,0.0026424864772707224,0.772289180085282
0,0,"{60, 53}",71,112,41,41,0.0014856169000267982,0.772289180085282
0,1,"{0, 1}",50,109,59,59,0.0018130203243345022,0.73529817650546
0,1,"{0, 2}",19,61,42,42,0.002266715047881007,0.73529817650546
0,1,"{0, 7}",110,60,-50,50,0.0013925312086939812,0.73529817650546
0,1,"{0, 10}",11,121,110,110,0.0022814408876001835,0.73529817650546
0,1,"{0, 16}",72,89,17,17,0.0017914309864863753,0.73529817650546
0,1,"{0, 18}",184,184,0,0,0.005512769799679518,0.73529817650546
0,1,"{0, 22}",204,171,-33,33,0.03307231143116951,0.73529817650546
0,1,"{0, 25}",57,101,44,44,0.0016842095647007227,0.73529817650546
0,1,"{0, 37}",167,206,39,39,0.003664972959086299,0.73529817650546
0,1,"{0, 41}",6,56,50,50,0.0021983764600008726,0.73529817650546
0,1,"{0, 42}",78,55,-23,23,0.0015699539799243212,0.73529817650546
0,1,"{0, 43}",105,54,-51,51,0.0015291913878172636,0.73529817650546
0,1,"{0, 47}",80,53,-27,27,0.0016260695410892367,0.73529817650546
0,1,"{0, 49}",18,87,69,69,0.002270051511004567,0.73529817650546
0,1,"{0, 51}",45,119,74,74,0.0018719191430136561,0.73529817650546
0,1,"{0, 54}",74,51,-23,23,0.0016411511460319161,0.73529817650546
0,1,"{0, 55}",43,127,84,84,0.0025123353116214275,0.73529817650546
