K,partition,fold,category,pair,oracle_kl,rank_b,rank_c,Weight_Distance,Weight_Cosine,Activation_Similarity,Output_Similarity,Routing_Similarity,Usage_Frequency,Jaccard_Overlap,Usage_Asymmetry,Routing_JSD_Proxy,Routing_NPMI_Proxy,Specialization_Diff
25,1,1,Neither,"{2, 31}",0.0018782123224809766,95,87,55.711551666259766,0.0009213777375407517,-0.0019476533634588122,0.00863055419176817,0.029754169285297394,0.18410481222809327,0.02589406971480308,0.027052097022533417,0.945122241973877,-0.5433499813079834,0.6193636059761047
25,1,1,Neither,"{32, 2}",0.0021961054299026728,79,101,56.75252151489258,0.0008690452086739242,-0.0006594581063836813,0.009444043971598148,-0.11945744603872299,0.20352374443685098,0.0068796068796068794,0.013038557954132557,1.1117559671401978,-0.6390053033828735,0.27859199047088623
25,1,1,Neither,"{2, 35}",0.002137690084055066,61,96,55.921058654785156,0.000733465189114213,1.0417454177513719e-05,0.004023552872240543,-0.11776114255189896,0.23842781657860085,0.005103467561521253,0.017273178324103355,1.1120567321777344,-0.6666514873504639,0.3225029408931732
25,1,1,Neither,"{2, 36}",0.0020190533250570297,78,75,56.341278076171875,0.0005409839795902371,0.001222615479491651,0.023108815774321556,0.08113713562488556,0.18445485306619105,0.11810952467016085,0.011888952925801277,0.8103364109992981,-0.38149774074554443,0.25264501571655273
25,1,1,Neither,"{40, 2}",0.0022749165073037148,105,72,56.174156188964844,0.00026253037503920496,-0.002113980706781149,0.014760073274374008,0.19009292125701904,0.20862433950627574,0.08852668584212209,0.006315551698207855,0.7382087111473083,-0.4278178811073303,0.1235516145825386
25,1,1,Neither,"{2, 42}",0.0017415941692888737,91,94,56.83522415161133,0.000492869527079165,0.00036569623625837266,0.007938729599118233,-0.03638853132724762,0.16795292784158153,0.025605398967844382,0.04156040400266647,1.009851336479187,-0.5378636717796326,1.0276403427124023
25,1,1,Neither,"{2, 43}",0.0016581923700869083,101,55,56.464637756347656,0.0007353205000981688,-0.0007811005343683064,0.012275110930204391,0.12544092535972595,0.14855066424416183,0.03175493716337523,0.05813508853316307,0.8467875123023987,-0.5119955539703369,1.5820294618606567
25,1,1,Neither,"{2, 45}",0.0034461673349142075,193,191,55.3463249206543,0.0015415027737617493,0.00017997328541241586,0.009356215596199036,-0.13407063484191895,0.2827329855149767,0.024761230986911922,0.06100182607769966,1.105989694595337,-0.5827980041503906,0.9635531306266785
25,1,1,Neither,"{2, 46}",0.0017332598799839616,97,61,57.12150573730469,0.0011836204212158918,-0.001785324770025909,0.010642736218869686,0.14466510713100433,0.15668494657710066,0.0725531914893617,0.045227497816085815,0.7932776212692261,-0.43295925855636597,1.1413891315460205
25,1,1,Neither,"{48, 2}",0.0036287002731114626,192,209,54.38046646118164,0.0013511896831914783,0.00046567831304855645,0.0077390773221850395,-0.10059066861867905,0.23116030203523744,0.021416209979809635,0.014188162982463837,1.0770201683044434,-0.5760936141014099,0.2683495879173279
25,1,1,Neither,"{2, 51}",0.0020493443589657545,108,98,55.400360107421875,0.0012590354308485985,-0.00039286899846047163,0.00995715707540512,-0.043611712753772736,0.23957795076092211,0.048911152856049536,0.027445001527667046,0.9925674796104431,-0.5061861276626587,0.49160265922546387
25,1,1,Neither,"{2, 52}",0.0035416441969573498,185,184,55.27579116821289,0.0004093511961400509,0.00013927029795013368,0.006067259237170219,-0.26726025342941284,0.28179954328004936,0.007452975275050278,0.05590863898396492,1.2578153610229492,-0.6613293290138245,0.8992329239845276
25,1,1,Neither,"{2, 53}",0.002333630109205842,104,89,54.94716262817383,0.0004799785965587944,-0.0019503786461427808,0.01911654882133007,0.32798704504966736,0.19455603153701265,0.21641535298149417,0.014668378047645092,0.5265790224075317,-0.2902560234069824,0.27687153220176697
25,1,1,Neither,"{2, 54}",0.0017973474459722638,109,152,55.78081512451172,0.00016075573512353003,0.0009507337235845625,0.005724908318370581,-0.028973478823900223,0.16708616005200608,0.0172585794094174,0.043554022908210754,1.0112148523330688,-0.5675540566444397,1.0889030694961548
25,1,1,Neither,"{2, 61}",0.005252599250525236,208,207,55.41151428222656,0.0015229342970997095,0.00010920022032223642,0.01597842015326023,-0.04003903269767761,0.2804660543730102,0.035659099013431596,0.0616421140730381,1.002952218055725,-0.5509735941886902,0.9714761972427368
25,1,1,Neither,"{2, 63}",0.002722272416576743,152,160,56.07191467285156,0.0004767930950038135,0.0026046298444271088,0.007588091306388378,-0.28543126583099365,0.29941826546430417,0.005455658854311641,0.07088261097669601,1.2784184217453003,-0.6827438473701477,1.0819754600524902
25,1,1,Neither,"{16, 3}",0.0009878674754872918,60,64,56.238677978515625,0.002697314601391554,0.0006389252375811338,0.01823411136865616,0.27412065863609314,0.09561115463470739,0.06624825662482567,0.06312641501426697,0.6777911186218262,-0.4327497184276581,2.2219367027282715
25,1,1,Neither,"{3, 30}",0.0022902963683009148,125,146,56.66572189331055,0.0007195085054263473,0.0003498910227790475,0.016477417200803757,-0.0804932713508606,0.12958178454152985,0.0061744275791098535,0.08795206248760223,1.0738219022750854,-0.6135115623474121,2.7584874629974365
25,1,1,Neither,"{32, 3}",0.0012726433342322707,76,46,58.27959060668945,0.00204980606213212,-0.0036696246825158596,0.01726880483329296,0.08573199808597565,0.10564565866017703,0.039444619753865574,0.06999494135379791,0.8782050609588623,-0.4821576476097107,2.3830833435058594
25,1,1,Neither,"{3, 45}",0.002591981552541256,128,120,56.892845153808594,0.003385229269042611,0.0005794434109702706,0.014835864305496216,-0.07457134127616882,0.19247245511976396,0.011171732917640946,0.14403532445430756,1.0625665187835693,-0.5871275663375854,3.6252286434173584
25,1,1,Neither,"{48, 3}",0.002757687121629715,146,133,56.003360748291016,0.0014763418585062027,0.00023456588678527623,0.00797448679804802,-0.03555985912680626,0.13978297468037937,0.008704984497972811,0.09722165763378143,1.0265452861785889,-0.5953091979026794,2.930025100708008
25,1,1,Neither,"{51, 3}",0.0011392515152692795,40,47,56.994327545166016,0.0013919661287218332,0.0005415353807620704,0.022240526974201202,0.09106132388114929,0.15320120680746088,0.019475573931019476,0.11047849804162979,0.8912366032600403,-0.5422390103340149,3.153278112411499
25,1,1,Neither,"{3, 52}",0.002740289317443967,154,142,56.81692123413086,0.0025742242578417063,-0.001702463603578508,0.018314531072974205,0.027585919946432114,0.18667177837414364,0.011340298240914367,0.13894213736057281,0.9613866209983826,-0.5852359533309937,3.560908317565918
25,1,1,Neither,"{3, 53}",0.0015617855824530125,93,58,56.535400390625,0.001301583368331194,0.0011163802118971944,0.01666370779275894,-0.024365127086639404,0.1400496724617872,0.010711735301118781,0.09770187735557556,1.013392448425293,-0.5825905203819275,2.938546895980835
25,1,1,Neither,"{3, 61}",0.004436778370290995,195,193,57.01263427734375,0.001367451623082161,-0.0029577966779470444,0.01606554538011551,0.1595592498779297,0.19013884953244545,0.02743929166301394,0.144675612449646,0.8173796534538269,-0.5179249048233032,3.6331515312194824
25,1,1,Neither,"{3, 63}",0.0018812150228768587,111,34,57.64967346191406,0.0005586364422924817,-0.0017048092558979988,0.017416443675756454,0.0001234625233337283,0.20467387861917224,0.0061894291066047725,0.1539161056280136,0.9936878681182861,-0.6249986290931702,3.7436509132385254
25,1,1,Neither,"{16, 30}",0.002577060367912054,145,124,55.20466232299805,0.000212784405448474,-4.925813846057281e-05,0.02326846867799759,0.19013488292694092,0.19253912956511593,0.05272270799065016,0.024825647473335266,0.7671668529510498,-0.48071515560150146,0.5365508198738098
25,1,1,Neither,"{16, 35}",0.0015748910373076797,35,69,56.03907775878906,0.0011975958477705717,0.0016400439199060202,0.01681368425488472,0.05686638131737709,0.2120080676078876,0.022800534633225882,0.03718026354908943,0.9216296672821045,-0.5628732442855835,0.7622416615486145
25,1,1,Neither,"{16, 40}",0.0017486934084445238,39,93,56.28255844116211,0.0010568381985649467,0.0017032306641340256,0.013600191101431847,-0.12262972444295883,0.2029903488740353,0.006404992609623912,0.02622263692319393,1.1154392957687378,-0.6422283053398132,0.5632902979850769
25,1,1,Neither,"{16, 42}",0.0011295160511508584,38,65,56.940399169921875,0.0013293724041432142,-0.0011931946501135826,0.008007995784282684,-0.18804363906383514,0.14925074592035736,0.0013401831583649765,0.021653320640325546,1.1864514350891113,-0.6933549046516418,0.5879016518592834
25,1,1,Neither,"{16, 45}",0.002714284462854266,159,159,55.42511749267578,0.003482269588857889,0.0007021413766779006,0.01854356750845909,0.2703450918197632,0.2184588201956895,0.2218831069739051,0.08090890944004059,0.5677568316459656,-0.2851863205432892,1.4032918214797974
25,1,1,Neither,"{16, 48}",0.0030242358334362507,179,166,54.49720764160156,0.0020002597011625767,0.0024979577865451574,0.010991514660418034,-0.043672166764736176,0.2058073441901555,0.0364461002672714,0.034095246344804764,1.0056344270706177,-0.5209776163101196,0.7080882787704468
25,1,1,Neither,"{16, 51}",0.0014123315922915936,41,70,55.50114440917969,0.0023927122820168734,-0.002371074864640832,0.02377311885356903,-0.026225458830595016,0.21807544213491575,0.047771917755866394,0.04735208675265312,0.9772006869316101,-0.49841850996017456,0.9313413500785828
25,1,1,Neither,"{16, 52}",0.002936661010608077,171,195,55.37065887451172,0.0017753435531631112,-8.976830577012151e-05,0.009620481170713902,-0.07800628989934921,0.25719667294517695,0.015165262475696694,0.07581572234630585,1.0616580247879028,-0.6066696643829346,1.3389716148376465
