q,n_train,n_test,test_train_spearman,test_train_pearson,test_train_rmse,test_train_mae,test_train_norm_stress,test_test_spearman,test_test_pearson,test_test_rmse,test_test_mae,test_test_norm_stress,layer,label,realization,repetition,fold,seed
6,51,13,0.23556970702456856,0.3138116020622636,0.002808385895538634,0.0019054942275944116,0.4703248303399237,-0.20120385943170752,-0.24162612083479215,0.0038084914600211794,0.0024622912923220074,0.6266609422349559,first,null_a,0,0,2,4226
8,51,13,0.32002807198775,0.3833057090480966,0.0027219970576702044,0.001814716619717408,0.455857154947351,0.010306149546655874,-0.26439270511841406,0.003790483460485905,0.0023893919272661842,0.6236978503979379,first,null_a,0,0,2,4228
2,51,13,0.11840584577239388,0.1749834271362694,0.003208192109995772,0.002363173864459326,0.5533576995260541,-0.04556203290380505,0.022149174936556715,0.0035935193133713006,0.0026207550961250114,0.6065233553696292,first,null_a,0,0,3,4232
4,51,13,0.17319830922437546,0.25620933655605804,0.0027923159306512146,0.001975100900721956,0.4816262451743095,0.1224218819155528,0.09318928328921407,0.003158337965683983,0.0021750121311620496,0.5330723375299717,first,null_a,0,0,3,4234
6,51,13,0.24215206439625706,0.31143527008930905,0.002654254794122744,0.0017980067286070677,0.45781308490085965,0.028237585199610515,0.12348323439232331,0.0029708938903159716,0.0020246323765393446,0.5014350483930156,first,null_a,0,0,3,4236
8,51,13,0.25246317528044393,0.34975060200967456,0.0025925404101713994,0.0017344283249109216,0.44716842013013647,0.018652233842107256,0.08206547179772283,0.002994385881276829,0.002042072520546464,0.5054000865462472,first,null_a,0,0,3,4238
2,52,12,0.2057031732312631,0.22127789341881832,0.0031648647954432957,0.002281156324607959,0.5503291575776748,-0.063855547437637,-0.1124858045247223,0.00262244554097884,0.0018914831214877435,0.547449709456678,first,null_a,0,0,4,4242
4,52,12,0.2761386343993086,0.3547239775231501,0.0026748971594222366,0.0018702154911674307,0.4651301068125296,0.2000834985909613,0.13789466829936076,0.0020910274790857768,0.001576890148706189,0.43651331095484325,first,null_a,0,0,4,4244
6,52,12,0.2948392641066799,0.3694673123908627,0.002613645484198028,0.0017367061192886078,0.4544792307072081,0.00949796472184532,-0.0003749265730159518,0.0021618380764749723,0.0015911771300457563,0.4512954066595645,first,null_a,0,0,4,4246
8,52,12,0.3194866032843561,0.41739834985213975,0.0025493117559797504,0.0017032109374694403,0.44329242534820174,0.08498069095084021,0.03727567232542352,0.0020260217512077135,0.001496406595564043,0.42294301319888583,first,null_a,0,0,4,4248
