layer,q,test_train_spearman_mean,test_train_spearman_ci_lo,test_train_spearman_ci_hi,test_train_spearman_std,test_train_spearman_n,test_train_pearson_mean,test_train_pearson_ci_lo,test_train_pearson_ci_hi,test_train_pearson_std,test_train_pearson_n,test_train_rmse_mean,test_train_rmse_ci_lo,test_train_rmse_ci_hi,test_train_rmse_std,test_train_rmse_n,test_train_mae_mean,test_train_mae_ci_lo,test_train_mae_ci_hi,test_train_mae_std,test_train_mae_n,test_train_norm_stress_mean,test_train_norm_stress_ci_lo,test_train_norm_stress_ci_hi,test_train_norm_stress_std,test_train_norm_stress_n,test_test_spearman_mean,test_test_spearman_ci_lo,test_test_spearman_ci_hi,test_test_spearman_std,test_test_spearman_n,test_test_pearson_mean,test_test_pearson_ci_lo,test_test_pearson_ci_hi,test_test_pearson_std,test_test_pearson_n,test_test_rmse_mean,test_test_rmse_ci_lo,test_test_rmse_ci_hi,test_test_rmse_std,test_test_rmse_n,test_test_mae_mean,test_test_mae_ci_lo,test_test_mae_ci_hi,test_test_mae_std,test_test_mae_n,test_test_norm_stress_mean,test_test_norm_stress_ci_lo,test_test_norm_stress_ci_hi,test_test_norm_stress_std,test_test_norm_stress_n
last,2,0.19254331920179177,0.18666523096147786,0.19842140744210568,0.01642633430727436,30,0.2002393304335465,0.19451796385075756,0.20596069701633543,0.015988375189539508,30,0.003104083974178757,0.003091694216466887,0.003116473731890627,3.462321316742248e-05,30,0.0024725551789065614,0.00246133474813154,0.0024837756096815827,3.135552571634809e-05,30,0.5279272088391338,0.526127691140323,0.5297267265379446,0.005028757327900277,30,0.007108652793141732,-0.015529933441921981,0.029747239028205447,0.06326359362739974,30,0.0029550822594368977,-0.02071758239923497,0.026627746918108763,0.06615332872351998,30,0.0035135675534613605,0.003454840586653874,0.003572294520268847,0.00016411267578733395,30,0.002802149776162039,0.002751983941255814,0.002852315611068264,0.00014018856833785371,30,0.6004882006593025,0.5919806988230923,0.6089957024955127,0.023774238080147524,30
last,3,0.23265130634815884,0.22633217880349515,0.23897043389282252,0.01765881989777821,30,0.24411225030703465,0.23778088174275178,0.2504436188713175,0.01769302746192258,30,0.0028065324968906966,0.0027941594183431956,0.0028189055754381975,3.4576603195150664e-05,30,0.002231254952370916,0.0022210114832050295,0.002241498421536802,2.8625403720738024e-05,30,0.47732795348993484,0.47546461149028607,0.4791912954895836,0.00520711451813474,30,-0.0005374963848419361,-0.02092104907970436,0.01984605631002049,0.056961895985058,30,-0.0024595814877540843,-0.022785785875930227,0.017866622900422062,0.05680163597890086,30,0.0032361926900963864,0.0031903201049915003,0.0032820652752012726,0.0001281910695562323,30,0.0025717395187276073,0.002532051544340995,0.0026114274931142195,0.0001109081573124223,30,0.5531684723348314,0.5471130740180491,0.5592238706516136,0.016921827820308363,30
last,4,0.2641996507492644,0.25693978420414065,0.2714595172943881,0.02028771771041514,30,0.27636652949738866,0.2695017862375842,0.2832312727571931,0.019183544565696174,30,0.0026584178236558945,0.002647086015752021,0.002669749631559768,3.166676941972869e-05,30,0.002114920462113637,0.002105415533354586,0.002124425390872688,2.6561550453121942e-05,30,0.4521421054510237,0.4503911853782533,0.45389302552379407,0.004892951123698566,30,-0.0019510152924095924,-0.024517745369206798,0.02061571478438761,0.0630627913887353,30,-0.006018246536535457,-0.029755590948741924,0.01771909787567101,0.06633407647874842,30,0.0030975203828404146,0.0030474707532645966,0.0031475700124162327,0.00013986383221149657,30,0.002465547111054156,0.002428129424124877,0.0025029647979834353,0.00010456383255526694,30,0.5294390495361134,0.5229872952912025,0.5358908037810244,0.01802944558886462,30
last,5,0.2947003290893026,0.2877761307216503,0.3016245274569549,0.019349692033691926,30,0.3070461730668102,0.3002502333163823,0.3138421128172381,0.018991272963037816,30,0.002569965824600914,0.0025591611140983773,0.0025807705351034507,3.0193794232410288e-05,30,0.0020469327860341605,0.0020380450938385754,0.0020558204782297456,2.4836681120839547e-05,30,0.43709069788133287,0.43547281808335864,0.4387085776793071,0.004521169697359097,30,4.0382817635797786e-05,-0.026613993927493182,0.026694759562764778,0.07448573163034831,30,-0.005774472666369846,-0.031143045930648074,0.01959410059790838,0.07089255014575332,30,0.00299769933615543,0.0029596951664888904,0.0030357035058219692,0.00010620276023274064,30,0.0023925665208344112,0.0023634009268977876,0.002421732114771035,8.15033352149216e-05,30,0.5127349699874088,0.5064290032846065,0.519040936690211,0.01762204188776152,30
last,6,0.3240886915776257,0.3164003711697453,0.33177701198550613,0.021485033248588945,30,0.3357700919987051,0.3280978799687463,0.34344230402866394,0.021440018340668034,30,0.0025110232372070906,0.0025001636958690717,0.0025218827785451095,3.0347019158126992e-05,30,0.0020020285194536566,0.0019935330567729084,0.002010523982134405,2.374059462596458e-05,30,0.4270737372039072,0.4252885301683739,0.42885894423944043,0.004988766138665758,30,0.003702617427914989,-0.020556742945897113,0.027961977801727093,0.06779285156828495,30,-0.0034521208359358816,-0.02712313253699606,0.020218890865124295,0.06614870952877241,30,0.0029461225929886497,0.0029034268827716533,0.002988818303205646,0.00011931328364567681,30,0.002351944958357192,0.0023188633468684172,0.002385026569845967,9.244665740318417e-05,30,0.5037791651154963,0.49710459830747666,0.5104537319235158,0.01865209593024284,30
last,7,0.34756970253195296,0.3406777328266668,0.3544616722372391,0.019259628945038104,30,0.3597227972266794,0.35325472444744666,0.3661908700059121,0.018075047779443278,30,0.0024729689685999085,0.0024631650748047165,0.0024827728623951005,2.7397009096997914e-05,30,0.0019743910345368363,0.001966987952412998,0.0019817941166606744,2.0687934052497007e-05,30,0.42060701241000864,0.41908637496898593,0.42212764985103135,0.004249425654260513,30,-0.00046191128601859554,-0.024344775819035255,0.023420953246998062,0.06674073287027199,30,-0.0038121672183415137,-0.028357075472446584,0.020732741035763558,0.06859081593198006,30,0.002900228804578622,0.002858557540017765,0.0029419000691394788,0.00011645046734564703,30,0.002321202312283056,0.0022901829844872838,0.002352221640078828,8.66835997570987e-05,30,0.49597343518537046,0.4895612050481557,0.5023856653225852,0.01791899535748448,30
last,8,0.3680444140237848,0.3613983500102304,0.3746904780373392,0.018572444790036013,30,0.37965205944152747,0.3730203517342177,0.3862837671488372,0.018532326051400032,30,0.0024467671251060708,0.002437158623511587,0.0024563756267005545,2.685098503634204e-05,30,0.0019551352555679754,0.0019478830964810288,0.001962387414654922,2.026617919661588e-05,30,0.41614885364043824,0.41468972143154315,0.41760798584933334,0.0040775491081336684,30,0.009493559277802618,-0.016621228964012538,0.03560834751961777,0.07297785002302468,30,0.0036451907269198706,-0.021236087282970065,0.028526468736809807,0.06953080217129574,30,0.002856430491748167,0.0028203296528704347,0.0028925313306258993,0.00010088389692955864,30,0.0022893277466741,0.0022614379283671356,0.0023172175649810644,7.793817658900482e-05,30,0.4886140313594454,0.48267595058520807,0.4945521121336828,0.016593983613967,30
last,9,0.3876843102578894,0.3817393520920663,0.39362926842371254,0.01661320250431569,30,0.40029012034597355,0.3943530771793549,0.4062271635125922,0.016591084016525093,30,0.00242437863766944,0.002414668226895758,0.002434089048443122,2.7135770527484262e-05,30,0.0019389444653064296,0.0019318072636062122,0.001946081667006647,1.9944930452414678e-05,30,0.41233393374875327,0.4108419913801189,0.41382587611738764,0.004169237192850715,30,-0.001079872328691524,-0.02434884725832895,0.0221891026009459,0.06502521662747246,30,-0.004967989052962697,-0.028679808386622537,0.018743830280697146,0.06626274657414598,30,0.002847961823808321,0.002810520409988483,0.002885403237628159,0.00010463013741842278,30,0.00228449620712434,0.0022545004374970945,0.002314491976751585,8.382326354372748e-05,30,0.4870774286609786,0.48122671937594025,0.4929281379460169,0.016349823738879624,30
middle,1,0.07841850197380497,0.07149224918381503,0.08534475476379491,0.019355433122758073,30,0.1523469668763216,0.14624920742141645,0.15844472633122675,0.017040206141285524,30,0.006013039106300402,0.005955773520257463,0.006070304692343341,0.0001600288430840344,30,0.0028818995947943074,0.002850079211097533,0.002913719978491082,8.892215275098435e-05,30,0.8673832253787241,0.8654967537581659,0.8692696969992824,0.00527175030955654,30,0.0070194497233983305,-0.009619401824227894,0.023658301271024557,0.04649731797762565,30,0.0017878869327592017,-0.01738674657218541,0.020962520437703816,0.053583567870165875,30,0.0060471929646867964,0.005799514783685008,0.006294871145688585,0.0006921373813088128,30,0.003060431150804503,0.00298759542532846,0.0031332668762805464,0.00020353964201776814,30,0.9215960602703438,0.9133162216577501,0.9298758988829375,0.02313803255418287,30
middle,2,0.09730430779191236,0.0902479944331781,0.10436062115064662,0.019718887752060175,30,0.18668847796439356,0.1807920240434684,0.19258493188531872,0.016477657253982085,30,0.005855012301919682,0.005799184015828716,0.005910840588010648,0.00015601230427996816,30,0.002734342989706992,0.002702807249263193,0.002765878730150791,8.812671637090037e-05,30,0.8444917496197242,0.842895545548308,0.8460879536911403,0.004460596817837764,30,0.008451796833432949,-0.00941600570509965,0.026319599371965548,0.04993162501735906,30,-0.0014233621771555076,-0.019695559128941095,0.016848834774630082,0.051061706355459716,30,0.005852147689342699,0.005610941031255399,0.0060933543474299984,0.0006740526921165812,30,0.002850934180251206,0.002783881568322395,0.0029179867921800173,0.00018737871476045886,30,0.8835070740449091,0.8756923918577538,0.8913217562320644,0.021838151600197746,30
