q,n_train,n_test,test_train_spearman,test_train_pearson,test_train_rmse,test_train_mae,test_train_norm_stress,test_test_spearman,test_test_pearson,test_test_rmse,test_test_mae,test_test_norm_stress,layer,label,realization,repetition,fold,seed
6,51,13,0.4295365766767635,0.44038897658765785,2.2112513486545193,1.8447685415924593,0.19683690276919383,0.2928843308590144,0.3166569733491357,3.0189730498366623,2.283890474039287,0.2697055728456185,middle,null_b,0,0,1,4216
8,51,13,0.5248751839115425,0.5492155350217466,1.780555470919969,1.466765292646886,0.15849804877129237,0.4138519708139961,0.4256749786476482,2.4789253521238326,2.0270003658204265,0.22145940725514512,middle,null_b,0,0,1,4218
2,51,13,0.38284717385213907,0.3813240869613913,4.452516555631993,3.664293390607706,0.39413583770784416,0.40722568570669837,0.40081780840703574,5.532674703000105,4.5801416221831825,0.4779767730500353,middle,null_b,0,0,2,4222
4,51,13,0.3946389651509758,0.4184757956580912,2.8851359542909085,2.3589531543937774,0.25539163348131827,0.26263609807913607,0.23704773860656214,3.5424635799484467,2.6210239856226103,0.3060391946905688,middle,null_b,0,0,2,4224
6,51,13,0.459635935438381,0.4869957922240468,2.2094625662087295,1.795024367019965,0.19558116596226666,0.5249054742725628,0.5006089203543962,2.512564908738259,2.005266246098839,0.21706457213294195,middle,null_b,0,0,2,4226
8,51,13,0.49730166994068864,0.5255073639651169,1.765964799086347,1.4679795963533673,0.15632283603079544,0.33405834671657453,0.3110188139647307,3.7499785243066763,2.881719497274041,0.3239667485028722,middle,null_b,0,0,2,4228
2,51,13,0.4016719500659882,0.424607770798907,4.412581061223168,3.620102673870755,0.39634024065731005,0.45070119753664056,0.47835137767419583,4.252414409761082,3.519612418403203,0.3959947781169954,middle,null_b,0,0,3,4232
4,51,13,0.39111975509315355,0.40319114909922305,2.8692682847544977,2.3097251929146965,0.25771911421265786,0.32857016401320194,0.32331885361199053,3.4092149510831447,2.7355530599273505,0.3174740719080489,middle,null_b,0,0,3,4234
6,51,13,0.46619119915843327,0.502381945124047,2.14794520986506,1.7566375279123247,0.19292951440095446,0.46177872760151234,0.34064117218183215,2.7818201712121793,2.0569804447279325,0.259049602252298,middle,null_b,0,0,3,4236
8,51,13,0.5226248461467639,0.5571948626860298,1.7443959357048786,1.441232114040252,0.15668251650594178,0.26111862820723575,0.24961165640608074,2.6586073092716735,2.1908284607563453,0.24757573229896207,middle,null_b,0,0,3,4238
2,52,12,0.34531581676750217,0.3577234171116048,4.46209296307246,3.6864356166947116,0.3927697292499361,0.29631562467383366,0.24866391966700363,5.45097141360989,4.729794268301298,0.4661848523524144,middle,null_b,0,0,4,4242
4,52,12,0.35787973823928887,0.3768749168571055,2.96069990977311,2.396513518443137,0.2606116258840057,0.2501826531677278,0.2286334324839957,3.714673725402638,2.955413281111472,0.3176910115306204,middle,null_b,0,0,4,4244
6,52,12,0.4657225336461292,0.48387699007958085,2.206905261710583,1.803821012737036,0.19425986623225108,0.3524266777998121,0.3639812905979478,2.509568338002295,1.9650715410947006,0.2146264686325177,middle,null_b,0,0,4,4246
8,52,12,0.5004670206198296,0.5273625844000898,1.8102806433921075,1.4979250038634395,0.15934751787016316,0.3676234213547648,0.34233936299858275,2.588514422570449,1.8532362593769929,0.2213781952488628,middle,null_b,0,0,4,4248
2,51,13,0.3809685296942304,0.37730647278686047,4.44150253086009,3.6418606717594098,0.3964733501375028,0.23580217251103325,0.20543143027368346,4.476770051067461,3.4531338262994167,0.40726738320808786,last,null_b,0,0,0,4202
4,51,13,0.4384168298187624,0.4587989845350078,2.870465957588352,2.3340967367799546,0.25623384130782534,0.13569974329468001,0.1780662797759965,3.9651985346224157,3.180760272564397,0.3607279383740411,last,null_b,0,0,0,4204
6,51,13,0.49083629290987957,0.5177365043320623,2.1375158397447844,1.7686062894472017,0.190806615569232,0.3690360272638753,0.4124794752360484,2.160913784490565,1.644684284323148,0.1965858626439637,last,null_b,0,0,0,4206
8,51,13,0.47552331511662693,0.5052119221745617,1.7856801652180663,1.4713362254956874,0.1593997960057445,0.4338572819585478,0.347930135417036,2.952848929369913,2.2444361706324796,0.2686309644576306,last,null_b,0,0,0,4208
2,51,13,0.38942290192608686,0.4080794405958816,4.446662350241204,3.6680427589613323,0.3962179851454613,0.40967892866627037,0.4025708582469053,4.2112025629710805,3.2642298834555254,0.3764953891332405,last,null_b,0,0,1,4212
4,51,13,0.3936473292659366,0.4075651219555702,2.8837371262195117,2.312062136164758,0.2569541880727416,0.45097940034648887,0.40541787253576583,3.452837398300662,2.432891793096533,0.30869504386173613,last,null_b,0,0,1,4214
6,51,13,0.46777650718525277,0.4838624041170597,2.179716811238623,1.808360384025775,0.19422275295757715,0.4094260170209537,0.4345897208617916,2.6039044642865585,1.9350142313566094,0.23279764150211985,last,null_b,0,0,1,4216
8,51,13,0.522658239690042,0.5480047731569796,1.7598895784022428,1.4619217629107062,0.1568142233230746,0.33911657962290875,0.4021665245768553,2.3201777458642665,1.7756632887602388,0.2074315377199894,last,null_b,0,0,1,4218
2,51,13,0.3803798809954586,0.3904968649350511,4.513975534387466,3.712238903658328,0.39322800882769726,0.28704207185219843,0.25155626220404326,4.732724828867162,3.894322690810866,0.3951002024593316,last,null_b,0,0,2,4222
4,51,13,0.3925208839349139,0.39664171378623725,2.9597856249586667,2.3970501527476435,0.25783715463076207,0.38992652916703546,0.4090733025185471,3.7712036462836505,2.9412726466062473,0.3148299083593016,last,null_b,0,0,2,4224
6,51,13,0.479952344819669,0.5001784665557248,2.21228925620201,1.8228382433862793,0.19272016264600145,0.3203505355404089,0.3271240342449363,2.800127111828772,2.1325382769115087,0.23376190858326862,last,null_b,0,0,2,4226
8,51,13,0.4899062559653385,0.5175422717695655,1.8378305218093731,1.533460203959377,0.1600997681862567,0.48509718129971285,0.4804767781410494,2.3925759509642095,1.8627267020699638,0.1997384755731844,last,null_b,0,0,2,4228
2,51,13,0.3508902117471814,0.36148645605331886,4.499639461068299,3.7115283219591144,0.3940540541998253,0.2757875036356049,0.2901351272097144,5.431718560082489,4.474035271861271,0.4698843752707963,last,null_b,0,0,3,4232
4,51,13,0.38567961336947354,0.3965903704435131,2.9545501585834155,2.400865848514837,0.2587435012071203,0.36582404936835317,0.3021065310046972,3.282214325040669,2.601877555774267,0.2839361448070261,last,null_b,0,0,3,4234
6,51,13,0.5135119911231644,0.5259264845592354,2.1693744472311747,1.762807641339049,0.18998206487548042,0.4574033561375333,0.399176705183085,3.3671040191845276,2.707025162494486,0.29127973974083843,last,null_b,0,0,3,4236
8,51,13,0.5303648189015855,0.5412654980436227,1.787088327197545,1.4948964481583218,0.1565035169235946,0.4724515990338775,0.39057063526115043,2.340276303074882,1.6726875020332397,0.2024514445046449,last,null_b,0,0,3,4238
2,52,12,0.4161072725027782,0.4364262989565707,4.358911829126311,3.548949828898516,0.39219934653297506,0.3685001565598581,0.38108187060081167,4.96396814328962,3.93368161058843,0.4535498056538143,last,null_b,0,0,4,4242
4,52,12,0.41299434498086185,0.43160304902441365,2.857846886773416,2.302984988953509,0.25713887443061456,0.3792714747938629,0.34126082414217274,3.388515985672862,2.627685017411671,0.30960326947994726,last,null_b,0,0,4,4244
6,52,12,0.4886477836769972,0.5004379415249594,2.133707833059709,1.746640865689036,0.1919834239881934,0.30124204154054907,0.27222126224235044,2.8803108098767214,2.0235281321040235,0.26316937787123673,last,null_b,0,0,4,4246
8,52,12,0.5274341029756761,0.5409004554956361,1.763173812854207,1.4481962186515842,0.1586440938320332,0.3386494102912014,0.44327521415936666,2.2456625428571524,1.7662822811669994,0.2051825838676594,last,null_b,0,0,4,4248
