q,n_train,n_test,test_train_spearman,test_train_pearson,test_train_rmse,test_train_mae,test_train_norm_stress,test_test_spearman,test_test_pearson,test_test_rmse,test_test_mae,test_test_norm_stress,layer,label,realization,repetition,fold,seed
4,51,13,0.8746643969488429,0.9478965222946696,0.0010519892296351721,0.0008172172352799348,0.17608133729655376,0.886265633101076,0.9059094214485637,0.0014373180923989994,0.0010215907984078454,0.2292735001694329,first,oracle,0,1,2,796124
5,51,13,0.8974039175937936,0.9581162960869071,0.0009169161636733237,0.000706454018676189,0.15347288711730994,0.785151557303456,0.8744065833199162,0.0016697106013395038,0.0011543823706629767,0.26634354348115014,first,oracle,0,1,2,796125
6,51,13,0.9124959050704327,0.9654020694296124,0.0008280219130716467,0.0006534040933231175,0.13859381983888677,0.652828184473754,0.8304353539608771,0.0019157315150541442,0.0012477612777537807,0.30558751898005404,first,oracle,0,1,2,796126
7,51,13,0.9206873288838254,0.97065573154397,0.0007512802561573713,0.000579975653817648,0.1257488465300772,0.8591787958876566,0.9048908468441998,0.001409568389179171,0.0010327239381906117,0.2248470119623208,first,oracle,0,1,2,796127
8,51,13,0.9282266521486416,0.9717907711401109,0.0007214127620546457,0.0005423607227003608,0.12074964296871689,0.7406138165631836,0.8649793565604825,0.0018049349246640491,0.0013358045035764864,0.2879138236304207,first,oracle,0,1,2,796128
9,51,13,0.9459236654070725,0.9755014744794852,0.0006709703778276647,0.0005004252230880061,0.11230662642358205,0.5811024418619355,0.8217406975720332,0.002091022218224902,0.0016578035489827215,0.3335489794776682,first,oracle,0,1,2,796129
1,51,13,0.47853116338163687,0.8071117653670677,0.002296126971541205,0.0018238674962151617,0.4271250740746166,0.1313496629952326,0.1572132082952258,0.002886582498504416,0.0024345615177839746,0.6250271999305157,first,oracle,0,1,3,796131
2,51,13,0.6295796300538924,0.8426902110611179,0.0016045593798986377,0.0012249618764330911,0.2984798107816781,0.2989542103466154,0.28571698826000724,0.001940900390418045,0.001534124421099498,0.420260130100411,first,oracle,0,1,3,796132
3,51,13,0.6817571443653521,0.8935622254536639,0.001255117875193219,0.0009815550092424957,0.2334767728695959,0.2184018513132437,0.1368117787021479,0.0017211641725918922,0.001120686859491726,0.3726809900542281,first,oracle,0,1,3,796133
4,51,13,0.7498663846511251,0.9087632096887066,0.00104311909389822,0.0008331749036570046,0.1940408025218516,0.3092730054755371,0.2625290507157996,0.0022079482452582806,0.0016967478828419068,0.4780835850145606,first,oracle,0,1,3,796134
5,51,13,0.749541919643688,0.9350133248527852,0.000911027081166085,0.0007316617051917556,0.16946907307388984,0.4991843599438536,0.4200039040722247,0.0015196790988900543,0.0011015570159975715,0.3290537417393431,first,oracle,0,1,3,796135
6,51,13,0.7779977890262639,0.9439203066825086,0.000816671967836566,0.0006694989227566665,0.15191715400769876,0.4745254745254745,0.43052085848887395,0.0016881420916381405,0.00121263309180855,0.365530770441556,first,oracle,0,1,3,796136
7,51,13,0.8497077673793422,0.9532102691173676,0.0007318296793091774,0.0005929200228170623,0.13613480868400046,0.3318074330732558,0.2993128083590545,0.00204491658974958,0.0015600819524561166,0.4427825952817414,first,oracle,0,1,3,796137
8,51,13,0.8318728153169883,0.9596523752739827,0.0006680677447339683,0.0005533263156813883,0.12427382653182582,0.2615232868397425,0.22494619509820046,0.0020254145582266976,0.0015605109002704083,0.438559850855757,first,oracle,0,1,3,796138
9,51,13,0.8587693174030347,0.9640441554981427,0.0006218284979229267,0.0004934670142983813,0.11567241120762704,0.4811011773037089,0.3956031890188982,0.0018466416867006855,0.0013743401093473922,0.3998504402044646,first,oracle,0,1,3,796139
1,52,12,0.6334966786022965,0.8035783066262487,0.002403086719735281,0.0018184567420302781,0.4063631381246917,0.4436906377204885,0.5731953688734264,0.0028060688978573615,0.00212439041634402,0.47286667516290026,first,oracle,0,1,4,796141
2,52,12,0.7683718483763429,0.8727248471180494,0.0016610826261214636,0.0012716036068046942,0.2808898834535105,0.6473854503705251,0.7623360835694606,0.0020143685341275585,0.001491622677131452,0.3394527311902385,first,oracle,0,1,4,796142
3,52,12,0.7940414866032844,0.9211539700588696,0.0012696086621625685,0.0010002837060314727,0.21469144492775766,0.6358208955223882,0.6732165310079902,0.002248779261695761,0.0016173963812720527,0.3789546199187479,first,oracle,0,1,4,796143
4,52,12,0.8164963575750093,0.9347501163262029,0.0010954996558923643,0.0008612931254187534,0.18524952692176674,0.8347562884876321,0.871638474291515,0.001473801266761023,0.001105641380116453,0.24835865769236756,first,oracle,0,1,4,796144
5,52,12,0.8532756142733672,0.9442507796235109,0.0009827057981642124,0.0007644274181256549,0.1661760304843802,0.515290679469784,0.7093280750986577,0.0021218543184835584,0.0014384733345453975,0.35756577378677196,first,oracle,0,1,4,796145
6,52,12,0.871401061859489,0.9544081102857866,0.0008769092789757099,0.0006897814128829602,0.14828578741198498,0.6996973176077654,0.8039731336868817,0.0016141970965595925,0.001105340362424297,0.27201755975791503,first,oracle,0,1,4,796146
7,52,12,0.8794946536609457,0.9643942770470871,0.0007685804331002854,0.0006245164673552354,0.12996732665988495,0.6898862331698155,0.7601756023363665,0.00197899556012382,0.0013633462902008257,0.3334918295813922,first,oracle,0,1,4,796147
8,52,12,0.9012652920113595,0.9707042447544851,0.0006949665720469014,0.0005553082231093267,0.11751918679815603,0.6421667884354453,0.7099953401168182,0.002174865260454203,0.001669454621965532,0.36649894998071814,first,oracle,0,1,4,796148
9,52,12,0.9147958019508582,0.9718557083684036,0.0006695634151469186,0.0005095856196580725,0.1132235005578825,0.6477194447343703,0.7401483950303704,0.0019509463340404997,0.0015522192499344075,0.32876509450762414,first,oracle,0,1,4,796149
1,51,13,0.6749044269379743,0.8755702753425867,0.002114854695778287,0.0017361922210009375,0.4091201646122959,0.38066996294844385,0.37518960110183197,0.002380190822065678,0.002025874003966656,0.590891527865646,first,oracle,0,2,0,1588001
2,51,13,0.7403623598850569,0.8816435406189679,0.0014919227925843076,0.0011777986323582028,0.28861353912841936,0.6435969094196942,0.6878883129265229,0.0019721250027849046,0.00166960956022866,0.4895876184524917,first,oracle,0,2,0,1588002
3,51,13,0.772764596684231,0.9189412967087481,0.0011821968479634555,0.0009268923599295613,0.228696831989658,0.6070005943423664,0.565825699509573,0.0013564984685285177,0.000919768983795782,0.3367559630872769,first,oracle,0,2,0,1588003
4,51,13,0.8079892672904848,0.9358047474386106,0.0009884572576648756,0.0007774987264956584,0.19121776866057938,0.31653156969612667,0.556382260040197,0.0022359091131509573,0.0019065926367587758,0.5550730385943967,first,oracle,0,2,0,1588004
5,51,13,0.8103648205486159,0.9428760419599851,0.0008716947274320724,0.0007029491713170375,0.16862997306178396,0.6592268491002667,0.6509989129504677,0.001397362171430045,0.0010800069506900305,0.3469005345299883,first,oracle,0,2,0,1588005
6,51,13,0.8205588275646364,0.9539001775238147,0.000778616039016499,0.0006218229195795538,0.1506238337263049,0.6965060256199496,0.7165645970222062,0.0011748185250251995,0.0008305038267043932,0.29165321821321166,first,oracle,0,2,0,1588006
7,51,13,0.8626456448478498,0.9580168897089314,0.0007052874789862329,0.000575211337949578,0.13643837095656852,0.4821128238849757,0.6220277244968812,0.0017706024942390523,0.0013767447090254003,0.43955888047482267,first,oracle,0,2,0,1588007
8,51,13,0.8985136867410586,0.9654870305406904,0.0006281047146806202,0.0005043627986992848,0.12150730959288289,0.44637640840172477,0.6589603991957067,0.0019354894076650622,0.0016288252269479164,0.48049269103157016,first,oracle,0,2,0,1588008
9,51,13,0.8876674556491745,0.9707498163297532,0.0005905713795210919,0.00048042549104723655,0.11424645886419314,0.5364129541344731,0.4795709870745681,0.0013481087550241883,0.0009553060599519892,0.3346731844356788,first,oracle,0,2,0,1588009
1,51,13,0.6801830773216582,0.8124972648373099,0.002356401653815817,0.001848353182243743,0.4009975020624108,0.6424082246867057,0.6810679692162042,0.002527239242448609,0.0019429464620417218,0.43608612459460705,first,oracle,0,2,1,1588011
2,51,13,0.7439553980847998,0.886438326411774,0.0016188295461419752,0.0012564600315303734,0.2754821544181862,0.7345186459110509,0.797853563134902,0.0018194872653285862,0.0012696525944511168,0.313960442272025,first,oracle,0,2,1,1588012
3,51,13,0.7725456239799733,0.9108062819228224,0.0012836918218964858,0.0009954834039477554,0.21845054011266227,0.7622124710732305,0.8013873828866523,0.002060329160229912,0.001464255919876559,0.35551875888228024,first,oracle,0,2,1,1588013
