Layer,k,Expert,Louvain_Community
aggregated,3,53,44
aggregated,3,54,45
aggregated,3,55,46
aggregated,3,56,47
aggregated,3,57,48
aggregated,3,58,49
aggregated,3,59,50
aggregated,3,60,51
aggregated,3,61,8
aggregated,3,62,1
aggregated,3,63,11
aggregated,5,0,0
aggregated,5,1,23
aggregated,5,2,2
aggregated,5,3,3
aggregated,5,4,23
aggregated,5,5,4
aggregated,5,6,5
aggregated,5,7,6
aggregated,5,8,7
aggregated,5,9,23
aggregated,5,10,8
aggregated,5,11,9
aggregated,5,12,10
aggregated,5,13,9
aggregated,5,14,12
aggregated,5,15,13
aggregated,5,16,14
aggregated,5,17,15
aggregated,5,18,16
aggregated,5,19,17
aggregated,5,20,18
aggregated,5,21,9
aggregated,5,22,19
aggregated,5,23,20
aggregated,5,24,21
aggregated,5,25,7
aggregated,5,26,22
aggregated,5,27,23
aggregated,5,28,24
aggregated,5,29,23
aggregated,5,30,25
aggregated,5,31,26
aggregated,5,32,18
aggregated,5,33,27
aggregated,5,34,28
aggregated,5,35,9
aggregated,5,36,29
aggregated,5,37,30
aggregated,5,38,7
aggregated,5,39,28
aggregated,5,40,31
aggregated,5,41,32
aggregated,5,42,18
aggregated,5,43,9
aggregated,5,44,34
aggregated,5,45,35
aggregated,5,46,36
aggregated,5,47,18
aggregated,5,48,37
aggregated,5,49,38
aggregated,5,50,18
aggregated,5,51,28
aggregated,5,52,39
aggregated,5,53,40
aggregated,5,54,31
aggregated,5,55,41
aggregated,5,56,42
aggregated,5,57,43
aggregated,5,58,44
aggregated,5,59,45
aggregated,5,60,11
aggregated,5,61,33
aggregated,5,62,1
aggregated,5,63,18
aggregated,8,0,0
aggregated,8,1,18
aggregated,8,2,2
aggregated,8,3,3
aggregated,8,4,18
aggregated,8,5,5
aggregated,8,6,6
aggregated,8,7,7
aggregated,8,8,20
aggregated,8,9,20
aggregated,8,10,9
aggregated,8,11,10
aggregated,8,12,11
aggregated,8,13,24
aggregated,8,14,13
aggregated,8,15,14
aggregated,8,16,15
aggregated,8,17,16
aggregated,8,18,17
aggregated,8,19,10
aggregated,8,20,18
aggregated,8,21,24
aggregated,8,22,19
aggregated,8,23,20
aggregated,8,24,20
aggregated,8,25,20
aggregated,8,26,21
aggregated,8,27,24
aggregated,8,28,23
aggregated,8,29,18
aggregated,8,30,24
aggregated,8,31,24
aggregated,8,32,20
aggregated,8,33,25
aggregated,8,34,20
aggregated,8,35,10
aggregated,8,36,24
aggregated,8,37,26
aggregated,8,38,20
aggregated,8,39,20
aggregated,8,40,24
aggregated,8,41,27
aggregated,8,42,18
aggregated,8,43,10
aggregated,8,44,18
aggregated,8,45,28
aggregated,8,46,18
aggregated,8,47,18
aggregated,8,48,29
aggregated,8,49,30
aggregated,8,50,18
aggregated,8,51,20
aggregated,8,52,31
aggregated,8,53,32
aggregated,8,54,24
aggregated,8,55,33
aggregated,8,56,34
aggregated,8,57,10
aggregated,8,58,1
aggregated,8,59,4
aggregated,8,60,8
aggregated,8,61,12
aggregated,8,62,22
aggregated,8,63,18
