layer,pair,kl_10,kl_40,kl_70,kl_100,category
first,"(10, 43)",0.0025430464569279627,0.0019199617774628207,0.002209053191086438,0.0026780865197089452,Stable
first,"(41, 58)",0.0029150985468275633,0.005004345627764473,0.005858136655318925,0.008867884121700394,Stable
first,"(33, 54)",0.004373552147330602,0.004846379964589924,0.005073596629971456,0.006123598298680456,Stable
first,"(33, 63)",0.0038043912681143604,0.0022171536496885004,0.0026786633967035454,0.0029546396080010967,Stable
first,"(51, 62)",0.0013618126014735574,0.002545509298917464,0.0027693178728216204,0.003667116202357577,Stable
first,"(34, 37)",0.0014591009147764792,0.0024664001316004837,0.002793024294493489,0.0037236440980924347,Stable
first,"(37, 42)",0.0014433945307727803,0.0029426308104175077,0.0035038403206897354,0.004610935669617186,Stable
first,"(7, 10)",0.0024710447748571176,0.001826368178151036,0.0023236011796837408,0.0027570131200700242,Stable
first,"(36, 46)",0.0032828487512303766,0.004046316294892434,0.0045369724209448695,0.0046708132506075774,Stable
first,"(7, 19)",0.0017581243628251252,0.002688280274956858,0.003169392208593079,0.004185581462403143,Stable
first,"(0, 7)",0.0015658131866432973,0.0018546399962214466,0.002078937857963189,0.002372191786989231,Stable
first,"(10, 29)",0.0021962999056779286,0.0033032093394713426,0.0038664116824471376,0.004755354786717319,Stable
first,"(41, 44)",0.003383703990140743,0.005289699856032128,0.006288979661818589,0.010042120363396247,Stable
first,"(2, 25)",0.0011302160647630244,0.0030853272313324325,0.0033112782584778116,0.004094566344508111,Stable
first,"(10, 38)",0.00497850120795584,0.0038495321114709207,0.003959656244608301,0.004164583528701811,Stable
first,"(10, 47)",0.0023540342828575873,0.0026497795335630307,0.0037212164286619374,0.004822471125847283,Stable
first,"(33, 49)",0.004042836309829009,0.002880056445384138,0.0032734110349638317,0.004307856109251342,Stable
first,"(44, 49)",0.001979898259852716,0.002958653808394632,0.0034645032577679587,0.004872815846716687,Stable
first,"(2, 52)",0.0012794905406508183,0.0018774844480887172,0.0019321382760448954,0.002233048093433717,Stable
first,"(3, 17)",0.0025043342031025044,0.0039153427564439965,0.004643796357367142,0.005515955168688437,Stable
first,"(32, 53)",0.0018735831090130142,0.004467987228844843,0.005022692151106625,0.006210467389659299,Stable
first,"(2, 61)",0.0011982396832839407,0.0025381733399933008,0.0026745277911018133,0.003313456597818754,Stable
first,"(9, 60)",0.0015585751657903838,0.002431197502260339,0.0026391884635011704,0.0031371890423854128,Stable
first,"(6, 45)",0.00298706496650335,0.006403638800697296,0.009691369164762645,0.015005613474366797,Increasing Damage
first,"(29, 47)",0.0012380695648825486,0.003583905330510491,0.004429806492444909,0.005729237209191517,Stable
first,"(40, 47)",0.002072568339208257,0.002912585800494529,0.003884107122885051,0.0050027854033223,Stable
first,"(21, 43)",0.0012631017322515628,0.0014008571442525165,0.0014381462652819077,0.001635165542186109,Stable
first,"(6, 54)",0.003245137745475157,0.007436657319617715,0.010008494675643008,0.014849913506050038,Increasing Damage
first,"(2, 20)",0.0011154179131431016,0.0020491554522786407,0.0021048145719238533,0.002485452091815032,Stable
first,"(54, 58)",0.0017485256553668648,0.004413714258600878,0.00451264778507301,0.005643708611635683,Stable
first,"(2, 29)",0.0010449878831255443,0.0031571436247968456,0.0034318580815655415,0.004915775207632779,Stable
first,"(33, 44)",0.004196876022834196,0.0028815770984556817,0.003467726396071121,0.004413064000992742,Stable
first,"(51, 61)",0.0012567779510081467,0.0025956588017225285,0.0029504173718810645,0.00358987241927619,Stable
