layer,expert,mean_kl_100,median_kl_100,low_damage_partners_100
middle,5,0.0032077692218407438,0.0025123215376868483,59
middle,6,0.0032507878319662864,0.002550313863469879,59
middle,7,0.0019243829797319103,0.001289498192457695,62
middle,8,0.001920793428554431,0.0012775580951288241,62
middle,9,0.0025294729958669124,0.0018821435734653544,62
middle,10,0.00266537866386061,0.0020665339125906326,62
middle,11,0.0033584463990887783,0.0026785296874430194,59
middle,12,0.0034242646361428673,0.0027993271054112677,59
middle,13,0.002231115983048073,0.0015119451106944998,62
middle,14,0.0027662979165175502,0.002063904935008353,61
middle,15,0.0039035062345576157,0.003211939209397808,58
middle,16,0.002303866400491374,0.0016588956114973116,62
middle,17,0.002777997630699642,0.0020973314849559005,62
middle,18,0.005299556732263724,0.004646311125260491,45
middle,19,0.002413086595270277,0.0016659827082764712,62
middle,20,0.002678060769105174,0.00194549477519098,62
middle,21,0.0029832493462917304,0.0022891273030763303,60
middle,22,0.03272545856149885,0.032850125346728334,0
middle,23,0.0027393612207768955,0.0020774608413022377,62
middle,24,0.0032966744515464516,0.00257116413027715,59
middle,25,0.002216283695675216,0.0015586792706667426,62
middle,26,0.005493509758512715,0.0048149721892088125,40
middle,27,0.002150761384563026,0.0015377854193412408,62
middle,28,0.0028446772057960233,0.00225437588055174,60
middle,29,0.0021884730328580217,0.0014889904485448028,62
middle,30,0.003391434631929953,0.002683515973728566,59
middle,31,0.00216348791881386,0.0015167155898951365,62
middle,32,0.0026427824889770214,0.001963461814100351,62
middle,33,0.003010929543290947,0.002307296851881528,59
middle,34,0.0027563660475484297,0.0020768931000199964,62
middle,35,0.0024983222815051728,0.0018026826965826935,62
middle,36,0.0024246421051717835,0.0017758328471758887,62
middle,37,0.0045964344504153855,0.003937402611095722,55
middle,38,0.0021500388242115804,0.001412852443512232,62
middle,39,0.002153434616705274,0.0014600964626577159,62
middle,40,0.0024999681381297706,0.0018512150021152847,62
middle,41,0.002669530259899208,0.0020561265992727193,61
middle,42,0.0020887939585545645,0.0014170422166847627,62
middle,43,0.001977665327005184,0.0013303745718498679,62
middle,44,0.0038637736563501162,0.0032529581231559527,58
middle,45,0.004122737095011122,0.0035076135213366376,59
middle,46,0.0020771661299404096,0.0014112724612820773,62
middle,47,0.0021657256345236015,0.0014984764056103406,62
middle,48,0.0036719877346478086,0.003036152158957747,59
middle,49,0.0026464581418939293,0.001964331729995319,62
middle,50,0.002434471125327865,0.0017529172335293954,62
middle,51,0.0024026166489919875,0.001795197203137652,62
middle,52,0.0038754523241109557,0.0031475473387606737,58
middle,53,0.0026894675416631653,0.0019940359245102664,62
middle,54,0.0021153117945823326,0.0015020802400536617,62
middle,55,0.0027935085622924436,0.002261935583227531,61
middle,56,0.003431191383802563,0.002771079283198688,59
middle,57,0.002936253015822777,0.002184991835963336,61
middle,58,0.003768608468588933,0.0030275537920761227,58
middle,59,0.0020115021298896217,0.001373086985324521,62
middle,60,0.0020134124454198846,0.0013450598622349863,62
middle,61,0.0054751835123513235,0.0048127492426965094,38
middle,62,0.002393527464909032,0.0017576250244751327,62
middle,63,0.003055435275783552,0.0024115462940469553,60
last,0,0.006590270330498809,0.006178253419877289,17
last,1,0.003099776083310076,0.0025724634336199877,51
