Layer,Expert_A,Expert_B,Oracle_KL,Pred_XGBoost_B,Residual_XGBoost_B,AbsResidual_XGBoost_B,Weight_Distance,Weight_Cosine,Activation_Similarity,Output_Similarity,Routing_Similarity,Usage_Frequency,Jaccard_Overlap
last,45,57,0.005832163344410676,0.006154513917863369,-0.0003223505734526932,0.0003223505734526932,0.6302871540180569,-0.05081137276006971,-1.7582030786670098,1.1094710763171818,-0.6833901666366432,0.7303769080517978,-0.4112167244016286
last,45,58,0.004579536413674511,0.006444346625357866,-0.0018648102116833555,0.0018648102116833555,1.0430497900474343,-0.6452134749028209,-1.5341598837058203,0.9617266036143512,-1.0699451287455408,0.9063155610214864,-0.33634677032263627
last,45,59,0.009722143609013422,0.00919567234814167,0.0005264712608717519,0.0005264712608717519,0.6357541620660915,0.1187778762351819,-0.0807382935889339,1.062911562924975,-0.9140391234409139,2.2996455183390005,0.4280179181138171
last,45,60,0.006552152453621981,0.0070130848325788975,-0.0004609323789569169,0.0004609323789569169,0.9505824510856266,-0.26614410181900067,1.7659404826148062,0.9536687247205744,-1.0877849936981288,1.2364899081241412,-0.1688651430019117
last,45,61,0.005696923901581826,0.006118203978985548,-0.0004212800774037219,0.0004212800774037219,0.5872739081420666,-0.5742280687541667,0.8812664032004832,1.3647174847517511,-0.10377578079838551,1.0715474209650586,0.5182842033751777
last,45,62,0.005378029483679855,0.005436180159449577,-5.815067576972217e-05,5.815067576972217e-05,0.5383203441906487,-0.14082708876273967,-0.8390747581181045,1.388517286458508,2.7413329511324895,0.44852781595890917,4.179404734709783
last,45,63,0.0041984356442312494,0.00537473289296031,-0.0011762972487290605,0.0011762972487290605,0.5490849969542323,0.20767708721287015,3.2334167939009197,1.2927947399530135,1.165097347310065,0.4149605729581134,1.6847306603681875
last,46,47,0.006008913099858749,0.006089900154620409,-8.098705476165986e-05,8.098705476165986e-05,0.6523638660305796,-0.4668346292412219,-2.092792213809532,1.0667664706964695,0.15416677905660148,0.6094190841351375,0.4639212022349046
last,46,48,0.006147737149774336,0.006755130831152201,-0.0006073936813778651,0.0006073936813778651,0.7828860368753372,-0.28708438469964953,-0.16003135745728497,1.2921387349839222,-0.07372328217399104,1.2636909498661653,0.9233984868849779
last,46,49,0.008693266286708658,0.009046885184943676,-0.0003536188982350176,0.0003536188982350176,0.8742257991265187,-0.9515021565119443,1.0272664383095615,1.0185115944622674,-1.076947162084502,1.977573609202055,0.02217648230092835
