layer,expert_idx,neuron_idx,stratum,T_K,base_acc,int_acc,base_loss,int_loss,baseline_margin,ablated_margin,delta_acc,delta_loss,margin_damage
8,32,1009,Q3,5.637595313601196e-05,0.478,0.48,14.2642890625,14.269265625,-0.8849765625,-0.8869296875,-0.0020000000000000018,0.0049765624999995595,0.001953125
8,51,389,Q3,7.21463147783652e-05,0.478,0.482,14.2642890625,14.2616171875,-0.8849765625,-0.8788046875,-0.0040000000000000036,-0.002671874999998991,-0.006171875000000049
8,45,536,Q3,6.973471317905933e-05,0.478,0.482,14.2642890625,14.2629921875,-0.8849765625,-0.8856640625,-0.0040000000000000036,-0.001296874999999531,0.000687499999999952
8,43,933,Q3,5.487387534230948e-05,0.478,0.48,14.2642890625,14.264609375,-0.8849765625,-0.88365625,-0.0020000000000000018,0.00032031249999953104,-0.001320312499999976
8,13,117,Q4,8.995060488814488e-05,0.478,0.476,14.2642890625,14.2687109375,-0.8849765625,-0.887375,0.0020000000000000018,0.004421875000000242,0.002398437500000017
8,28,931,Q4,8.913472265703604e-05,0.478,0.478,14.2642890625,14.2695546875,-0.8849765625,-0.8924609375,0.0,0.0052656249999998295,0.0074843749999999876
8,55,918,Q4,7.496874604839832e-05,0.478,0.48,14.2642890625,14.271640625,-0.8849765625,-0.8932421875,-0.0020000000000000018,0.007351562500000242,0.008265624999999943
8,34,325,Q4,8.588298805989325e-05,0.478,0.48,14.2642890625,14.2636953125,-0.8849765625,-0.8868828125,-0.0020000000000000018,-0.0005937500000001705,0.0019062499999999982
8,18,831,Q4,7.797394937369972e-05,0.478,0.482,14.2642890625,14.2649453125,-0.8849765625,-0.877234375,-0.0040000000000000036,0.000656250000000469,-0.007742187499999997
8,12,974,Q4,8.204719051718712e-05,0.478,0.478,14.2642890625,14.269171875,-0.8849765625,-0.8848515625,0.0,0.0048828125,-0.00012500000000004174
8,55,195,Q4,7.658552203793079e-05,0.478,0.482,14.2642890625,14.2689296875,-0.8849765625,-0.8896640625,-0.0040000000000000036,0.004640625000000398,0.004687499999999956
8,28,1012,Q4,9.90363914752379e-05,0.478,0.478,14.2642890625,14.268421875,-0.8849765625,-0.886671875,0.0,0.004132812499999972,0.0016953124999999902
8,16,411,Q4,9.490928641753273e-05,0.478,0.478,14.2642890625,14.263703125,-0.8849765625,-0.8850625,0.0,-0.0005859375000003553,8.593749999996625e-05
8,36,877,Q4,7.48066304367967e-05,0.478,0.48,14.2642890625,14.2695859375,-0.8849765625,-0.8933984375,-0.0020000000000000018,0.005296875000000867,0.008421875000000023
8,10,350,Q5,0.0001488621346652,0.478,0.484,14.2642890625,14.2631640625,-0.8849765625,-0.8832109375,-0.006000000000000005,-0.0011250000000000426,-0.001765624999999993
8,4,205,Q5,0.0001450010022381,0.478,0.482,14.2642890625,14.2631328125,-0.8849765625,-0.8816640625,-0.0040000000000000036,-0.0011562499999993037,-0.0033125000000000515
8,24,1008,Q5,0.0001041932555381,0.478,0.478,14.2642890625,14.2658046875,-0.8849765625,-0.88678125,0.0,0.0015156249999996874,0.0018046874999999574
8,10,167,Q5,0.0001321519957855,0.478,0.48,14.2642890625,14.2671328125,-0.8849765625,-0.8858515625,-0.0020000000000000018,0.002843750000000256,0.0008749999999999591
8,6,619,Q5,0.0001105322226067,0.478,0.482,14.2642890625,14.2624296875,-0.8849765625,-0.8856015625,-0.0040000000000000036,-0.0018593750000004405,0.0006249999999999867
8,14,177,Q5,0.0001204894942929,0.478,0.48,14.2642890625,14.261484375,-0.8849765625,-0.8814921875,-0.0020000000000000018,-0.002804687499999403,-0.003484374999999984
8,17,707,Q5,0.0001073979074135,0.478,0.478,14.2642890625,14.26853125,-0.8849765625,-0.88728125,0.0,0.004242187500000938,0.0023046875000000133
8,49,633,Q5,0.0002588817733339,0.478,0.478,14.2642890625,14.268625,-0.8849765625,-0.8885,0.0,0.004335937500000497,0.0035234374999999485
8,35,904,Q5,0.0001831948029575,0.478,0.476,14.2642890625,14.2660546875,-0.8849765625,-0.8830546875,0.0020000000000000018,0.001765625000000881,-0.0019218749999999618
8,53,819,Q5,0.0001038917107507,0.478,0.474,14.2642890625,14.264828125,-0.8849765625,-0.87965625,0.0040000000000000036,0.0005390624999996874,-0.00532031249999998
